Time,Data
0.0,-0.273
0.004,-0.307
0.008,-0.297
0.012,-0.32
0.016,-0.333
0.02,-0.335
0.024,-0.338
0.028,-0.325
0.032,-0.328
0.036,-0.295
0.04,-0.345
0.044,-0.278
0.048,-0.328
0.052,-0.347
0.056,-0.375
0.06,-0.328
0.064,-0.3
0.068,-0.307
0.072,-0.297
0.076,-0.285
0.08,-0.278
0.084,-0.297
0.088,-0.3
0.092,-0.247
0.096,-0.26
0.1,-0.263
0.104,-0.225
0.108,-0.21
0.112,-0.215
0.116,-0.215
0.12,-0.24
0.124,-0.203
0.128,-0.212
0.132,-0.207
0.136,-0.17
0.14,-0.2
0.144,-0.195
0.148,-0.188
0.152,-0.198
0.156,-0.228
0.16,-0.225
0.164,-0.285
0.168,-0.25
0.172,-0.25
0.176,-0.228
0.18,-0.207
0.184,-0.237
0.188,-0.253
0.192,-0.228
0.196,-0.233
0.2,-0.188
0.204,-0.185
0.208,-0.2
0.212,-0.16
0.216,-0.122
0.22,-0.125
0.224,-0.1
0.228,-0.022
0.232,0.095
0.236,0.313
0.24,0.588
0.244,0.978
0.248,1.353
0.252,1.77
0.256,2.112
0.26,2.35
0.264,2.283
0.268,2.0
0.272,1.5
0.276,0.978
0.28,0.537
0.284,0.138
0.288,-0.122
0.292,-0.198
0.296,-0.25
0.3,-0.287
0.304,-0.212
0.308,-0.263
0.312,-0.273
0.316,-0.307
0.32,-0.325
0.324,-0.347
0.328,-0.34
0.332,-0.333
0.336,-0.328
0.34,-0.36
0.344,-0.378
0.348,-0.39
0.352,-0.39
0.356,-0.42
0.36,-0.388
0.364,-0.422
0.368,-0.4
0.372,-0.412
0.376,-0.415
0.38,-0.438
0.384,-0.435
0.388,-0.432
0.392,-0.425
0.396,-0.438
0.4,-0.435
0.404,-0.422
0.408,-0.395
0.412,-0.44
0.416,-0.46
0.42,-0.44
0.424,-0.487
0.428,-0.425
0.432,-0.412
0.436,-0.388
0.44,-0.388
0.444,-0.453
0.448,-0.432
0.452,-0.448
0.456,-0.438
0.46,-0.415
0.464,-0.44
0.468,-0.362
0.472,-0.407
0.476,-0.388
0.48,-0.415
0.484,-0.422
0.488,-0.438
0.492,-0.425
0.496,-0.435
0.5,-0.37
0.504,-0.398
0.508,-0.388
0.512,-0.412
0.516,-0.412
0.52,-0.4
0.524,-0.398
0.528,-0.445
0.532,-0.383
0.536,-0.395
0.54,-0.37
0.544,-0.378
0.548,-0.42
0.552,-0.427
0.556,-0.398
0.56,-0.388
0.564,-0.375
0.568,-0.338
0.572,-0.347
0.576,-0.315
0.58,-0.328
0.584,-0.328
0.588,-0.313
0.592,-0.215
0.596,-0.247
0.6,-0.177
0.604,-0.15
0.608,-0.147
0.612,-0.138
0.616,-0.128
0.62,-0.16
0.624,-0.17
0.628,-0.122
0.632,-0.115
0.636,-0.102
0.64,-0.122
0.644,-0.133
0.648,-0.11
0.652,-0.165
0.656,-0.175
0.66,-0.172
0.664,-0.17
0.668,-0.135
0.672,-0.165
0.676,-0.195
0.68,-0.185
0.684,-0.22
0.688,-0.188
0.692,-0.203
0.696,-0.233
0.7,-0.198
0.704,-0.212
0.708,-0.207
0.712,-0.188
0.716,-0.185
0.72,-0.212
0.724,-0.212
0.728,-0.2
0.732,-0.195
0.736,-0.212
0.74,-0.2
0.744,-0.182
0.748,-0.25
0.752,-0.212
0.756,-0.237
0.76,-0.233
0.764,-0.207
0.768,-0.237
0.772,-0.22
0.776,-0.223
0.78,-0.215
0.784,-0.263
0.788,-0.285
0.792,-0.26
0.796,-0.25
0.8,-0.258
0.804,-0.258
0.808,-0.273
0.812,-0.275
0.816,-0.31
0.82,-0.29
0.824,-0.29
0.828,-0.287
0.832,-0.313
0.836,-0.297
0.84,-0.313
0.844,-0.29
0.848,-0.32
0.852,-0.34
0.856,-0.35
0.86,-0.345
0.864,-0.315
0.868,-0.313
0.872,-0.31
0.876,-0.287
0.88,-0.31
0.884,-0.313
0.888,-0.372
0.892,-0.338
0.896,-0.347
0.9,-0.34
0.904,-0.325
0.908,-0.333
0.912,-0.365
0.916,-0.347
0.92,-0.338
0.924,-0.385
0.928,-0.307
0.932,-0.375
0.936,-0.35
0.94,-0.352
0.944,-0.34
0.948,-0.365
0.952,-0.35
0.956,-0.383
0.96,-0.35
0.964,-0.35
0.968,-0.338
0.972,-0.362
0.976,-0.372
0.98,-0.352
0.984,-0.395
0.988,-0.383
0.992,-0.36
0.996,-0.378
1.0,-0.372
1.004,-0.352
1.008,-0.365
1.012,-0.383
1.016,-0.352
1.02,-0.347
1.024,-0.383
1.028,-0.378
1.032,-0.378
1.036,-0.345
1.04,-0.352
1.044,-0.362
1.048,-0.412
1.052,-0.39
1.056,-0.362
1.06,-0.372
1.064,-0.357
1.068,-0.35
1.072,-0.338
1.076,-0.365
1.08,-0.328
1.084,-0.395
1.088,-0.39
1.092,-0.362
1.096,-0.372
1.1,-0.357
1.104,-0.345
1.108,-0.362
1.112,-0.388
1.116,-0.383
1.12,-0.378
1.124,-0.378
1.128,-0.345
1.132,-0.35
1.136,-0.297
1.14,-0.313
1.144,-0.36
1.148,-0.36
1.152,-0.362
1.156,-0.352
1.16,-0.335
1.164,-0.3
1.168,-0.263
1.172,-0.258
1.176,-0.25
1.18,-0.287
1.184,-0.27
1.188,-0.265
1.192,-0.285
1.196,-0.278
1.2,-0.265
1.204,-0.223
1.208,-0.247
1.212,-0.273
1.216,-0.253
1.22,-0.287
1.224,-0.295
1.228,-0.287
1.232,-0.297
1.236,-0.313
1.24,-0.29
1.244,-0.325
1.248,-0.313
1.252,-0.32
1.256,-0.34
1.26,-0.345
1.264,-0.313
1.268,-0.265
1.272,-0.25
1.276,-0.263
1.28,-0.265
1.284,-0.263
1.288,-0.285
1.292,-0.235
1.296,-0.223
1.3,-0.175
1.304,-0.12
1.308,0.075
1.312,0.302
1.316,0.657
1.32,1.075
1.324,1.545
1.328,1.875
1.332,2.013
1.336,1.772
1.34,1.315
1.344,0.745
1.348,0.203
1.352,-0.19
1.356,-0.347
1.36,-0.445
1.364,-0.432
1.368,-0.35
1.372,-0.34
1.376,-0.362
1.38,-0.365
1.384,-0.398
1.388,-0.427
1.392,-0.438
1.396,-0.432
1.4,-0.497
1.404,-0.427
1.408,-0.45
1.412,-0.51
1.416,-0.507
1.42,-0.487
1.424,-0.507
1.428,-0.522
1.432,-0.502
1.436,-0.522
1.44,-0.475
1.444,-0.525
1.448,-0.532
1.452,-0.583
1.456,-0.552
1.46,-0.55
1.464,-0.545
1.468,-0.55
1.472,-0.563
1.476,-0.552
1.48,-0.588
1.484,-0.583
1.488,-0.578
1.492,-0.563
1.496,-0.532
1.5,-0.565
1.504,-0.535
1.508,-0.55
1.512,-0.575
1.516,-0.59
1.52,-0.573
1.524,-0.585
1.528,-0.573
1.532,-0.578
1.536,-0.557
1.54,-0.56
1.544,-0.595
1.548,-0.578
1.552,-0.583
1.556,-0.6
1.56,-0.6
1.564,-0.608
1.568,-0.583
1.572,-0.608
1.576,-0.64
1.58,-0.66
1.584,-0.647
1.588,-0.69
1.592,-0.665
1.596,-0.665
1.6,-0.627
1.604,-0.627
1.608,-0.632
1.612,-0.637
1.616,-0.657
1.62,-0.672
1.624,-0.677
1.628,-0.647
1.632,-0.645
1.636,-0.635
1.64,-0.608
1.644,-0.652
1.648,-0.65
1.652,-0.67
1.656,-0.625
1.66,-0.623
1.664,-0.625
1.668,-0.557
1.672,-0.545
1.676,-0.532
1.68,-0.49
1.684,-0.5
1.688,-0.512
1.692,-0.47
1.696,-0.445
1.7,-0.412
1.704,-0.412
1.708,-0.407
1.712,-0.427
1.716,-0.448
1.72,-0.472
1.724,-0.453
1.728,-0.482
1.732,-0.427
1.736,-0.427
1.74,-0.5
1.744,-0.487
1.748,-0.522
1.752,-0.57
1.756,-0.55
1.76,-0.57
1.764,-0.578
1.768,-0.532
1.772,-0.547
1.776,-0.55
1.78,-0.565
1.784,-0.6
1.788,-0.595
1.792,-0.6
1.796,-0.608
1.8,-0.57
1.804,-0.565
1.808,-0.583
1.812,-0.595
1.816,-0.603
1.82,-0.608
1.824,-0.603
1.828,-0.608
1.832,-0.598
1.836,-0.6
1.84,-0.583
1.844,-0.603
1.848,-0.615
1.852,-0.66
1.856,-0.645
1.86,-0.66
1.864,-0.608
1.868,-0.615
1.872,-0.65
1.876,-0.652
1.88,-0.64
1.884,-0.662
1.888,-0.657
1.892,-0.657
1.896,-0.66
1.9,-0.665
1.904,-0.682
1.908,-0.675
1.912,-0.738
1.916,-0.723
1.92,-0.72
1.924,-0.703
1.928,-0.75
1.932,-0.733
1.936,-0.713
1.94,-0.695
1.944,-0.738
1.948,-0.74
1.952,-0.777
1.956,-0.797
1.96,-0.772
1.964,-0.765
1.968,-0.762
1.972,-0.752
1.976,-0.782
1.98,-0.775
1.984,-0.775
1.988,-0.838
1.992,-0.815
1.996,-0.81
2.0,-0.813
2.004,-0.833
2.008,-0.823
2.012,-0.835
2.016,-0.877
2.02,-0.882
2.024,-0.882
2.028,-0.877
2.032,-0.865
2.036,-0.835
2.04,-0.858
2.044,-0.86
2.048,-0.895
2.052,-0.882
2.056,-0.89
2.06,-0.875
2.064,-0.863
2.068,-0.858
2.072,-0.853
2.076,-0.9
2.08,-0.877
2.084,-0.895
2.088,-0.882
2.092,-0.882
2.096,-0.865
2.1,-0.87
2.104,-0.9
2.108,-0.85
2.112,-0.877
2.116,-0.882
2.12,-0.91
2.124,-0.92
2.128,-0.907
2.132,-0.865
2.136,-0.877
2.14,-0.875
2.144,-0.89
2.148,-0.907
2.152,-0.907
2.156,-0.915
2.16,-0.897
2.164,-0.912
2.168,-0.895
2.172,-0.902
2.176,-0.925
2.18,-0.91
2.184,-0.925
2.188,-0.935
2.192,-0.935
2.196,-0.91
2.2,-0.927
2.204,-0.925
2.208,-0.935
2.212,-0.948
2.216,-0.973
2.22,-0.988
2.224,-0.953
2.228,-0.983
2.232,-0.965
2.236,-0.975
2.24,-0.925
2.244,-0.988
2.248,-1.008
2.252,-1.0
2.256,-0.99
2.26,-0.97
2.264,-0.998
2.268,-0.985
2.272,-0.988
2.276,-1.0
2.28,-1.002
2.284,-1.0
2.288,-0.983
2.292,-1.012
2.296,-0.97
2.3,-0.953
2.304,-0.94
2.308,-0.985
2.312,-1.015
2.316,-1.02
2.32,-1.048
2.324,-1.028
2.328,-1.05
2.332,-1.01
2.336,-1.038
2.34,-1.077
2.344,-1.103
2.348,-1.127
2.352,-1.14
2.356,-1.175
2.36,-1.17
2.364,-1.145
2.368,-1.14
2.372,-1.15
2.376,-1.145
2.38,-1.165
2.384,-1.173
2.388,-1.175
2.392,-1.133
2.396,-1.137
2.4,-1.077
2.404,-1.012
2.408,-0.848
2.412,-0.637
2.416,-0.25
2.42,0.2
2.424,0.7
2.428,1.15
2.432,1.42
2.436,1.415
2.44,1.123
2.444,0.627
2.448,0.077
2.452,-0.438
2.456,-0.828
2.46,-1.12
2.464,-1.24
2.468,-1.29
2.472,-1.308
2.476,-1.3
2.48,-1.32
2.484,-1.365
2.488,-1.383
2.492,-1.385
2.496,-1.41
2.5,-1.44
2.504,-1.423
2.508,-1.452
2.512,-1.45
2.516,-1.458
2.52,-1.512
2.524,-1.488
2.528,-1.478
2.532,-1.472
2.536,-1.472
2.54,-1.46
2.544,-1.522
2.548,-1.508
2.552,-1.512
2.556,-1.485
2.56,-1.478
2.564,-1.482
2.568,-1.472
2.572,-1.44
2.576,-1.44
2.58,-1.475
2.584,-1.485
2.588,-1.51
2.592,-1.498
2.596,-1.475
2.6,-1.462
2.604,-1.45
2.608,-1.465
2.612,-1.462
2.616,-1.427
2.62,-1.438
2.624,-1.438
2.628,-1.433
2.632,-1.438
2.636,-1.395
2.64,-1.403
2.644,-1.407
2.648,-1.397
2.652,-1.413
2.656,-1.397
2.66,-1.4
2.664,-1.363
2.668,-1.34
2.672,-1.313
2.676,-1.335
2.68,-1.377
2.684,-1.327
2.688,-1.35
2.692,-1.315
2.696,-1.327
2.7,-1.285
2.704,-1.245
2.708,-1.282
2.712,-1.3
2.716,-1.285
2.72,-1.295
2.724,-1.288
2.728,-1.24
2.732,-1.258
2.736,-1.208
2.74,-1.208
2.744,-1.225
2.748,-1.235
2.752,-1.212
2.756,-1.2
2.76,-1.195
2.764,-1.115
2.768,-1.1
2.772,-1.052
2.776,-1.032
2.78,-1.025
2.784,-0.975
2.788,-0.96
2.792,-0.9
2.796,-0.9
2.8,-0.873
2.804,-0.863
2.808,-0.825
2.812,-0.873
2.816,-0.877
2.82,-0.858
2.824,-0.887
2.828,-0.86
2.832,-0.87
2.836,-0.858
2.84,-0.825
2.844,-0.882
2.848,-0.863
2.852,-0.87
2.856,-0.823
2.86,-0.828
2.864,-0.877
2.868,-0.86
2.872,-0.838
2.876,-0.825
2.88,-0.825
2.884,-0.848
2.888,-0.853
2.892,-0.825
2.896,-0.828
2.9,-0.79
2.904,-0.815
2.908,-0.79
2.912,-0.807
2.916,-0.825
2.92,-0.823
2.924,-0.797
2.928,-0.785
2.932,-0.775
2.936,-0.752
2.94,-0.775
2.944,-0.762
2.948,-0.75
2.952,-0.797
2.956,-0.815
2.96,-0.782
2.964,-0.79
2.968,-0.752
2.972,-0.757
2.976,-0.74
2.98,-0.762
2.984,-0.797
2.988,-0.775
2.992,-0.757
2.996,-0.762
3.0,-0.757
3.004,-0.72
3.008,-0.752
3.012,-0.748
3.016,-0.775
3.02,-0.772
3.024,-0.785
3.028,-0.735
3.032,-0.74
3.036,-0.713
3.04,-0.725
3.044,-0.745
3.048,-0.775
3.052,-0.762
3.056,-0.762
3.06,-0.76
3.064,-0.738
3.068,-0.738
3.072,-0.72
3.076,-0.762
3.08,-0.728
3.084,-0.757
3.088,-0.76
3.092,-0.745
3.096,-0.738
